Number of Referrals,Tenure in Months,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,Number of Dependents,Total Customer Svc Requests,Product/Service Issues Reported,Contract_One Year,Contract_Two Year,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Payment Method_Credit Card,Payment Method_Mailed Check
0,35,0,1,18,0,0,1,0,1,0,0,1,1,88.55600000000001,0.0,0.0,892.85,1,37,0,1,1,1,0,0,0,0,0,0
0,1,0,1,32,0,0,0,0,0,1,1,1,0,37.336,0.0,0.0,0.0,1,54,0,4,4,0,0,0,0,0,0,0
4,35,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0.0,0.0,1435.7,1,24,1,1,0,1,0,0,0,1,0,0
0,7,0,1,78,0,0,1,0,0,0,1,0,0,77.63600000000001,0.0,425.0,151.06,1,23,0,2,0,0,0,0,0,0,0,1
8,68,1,0,0,0,0,0,0,0,0,0,0,0,25.8,0.0,0.0,1164.16,0,41,0,2,2,0,1,0,0,1,1,0
0,2,1,1,30,0,0,0,0,1,0,1,0,1,89.07600000000001,0.0,54.0,80.86,1,22,0,0,0,0,0,0,1,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,25.4,0.0,0.0,32.73,0,21,1,1,0,0,0,0,0,1,0,1
2,9,0,1,16,0,1,0,1,1,0,0,0,1,65.6,0.0,95.0,381.51,0,37,0,1,0,1,0,0,1,0,1,0
0,36,0,0,0,0,0,0,0,0,0,0,0,1,18.55,0.0,0.0,306.0,1,33,0,2,0,0,1,0,0,1,1,0
0,9,0,0,0,0,0,0,0,0,0,0,0,1,20.45,0.0,0.0,413.91,0,32,0,0,0,0,0,0,0,1,1,0
10,16,0,1,30,1,1,0,1,0,1,1,1,0,68.25,0.0,33.45,321.92,0,32,1,0,0,0,1,1,0,0,0,0
1,44,0,0,0,0,0,0,0,0,0,0,0,0,19.6,0.0,0.0,183.48,0,21,2,4,0,0,0,0,0,1,1,0
3,12,1,1,17,1,0,1,0,1,1,1,1,0,78.85,0.0,0.0,301.08,0,46,0,2,1,1,0,1,0,0,0,0
10,63,1,1,26,0,1,1,1,1,1,1,1,1,108.75,0.0,0.0,1283.3100000000002,0,49,0,1,0,0,0,0,1,0,0,0
10,72,1,1,15,1,1,1,1,1,0,0,0,0,82.3,0.0,872.0,3487.68,1,40,0,2,2,0,1,0,1,0,0,0
0,1,0,1,26,0,0,1,0,0,1,1,0,0,61.568000000000005,0.0,0.0,13.58,0,40,3,7,1,0,0,0,0,0,0,0
5,47,0,0,0,0,0,0,0,0,0,0,0,1,21.3,0.0,0.0,185.65,0,47,3,0,0,0,1,0,0,1,0,0
5,35,0,1,57,0,1,0,1,1,0,0,1,1,89.7,0.0,0.0,53.55,1,50,3,0,0,1,0,1,0,0,0,0
0,3,1,1,26,0,0,0,0,0,0,0,0,0,77.376,0.0,56.0,71.46000000000001,0,32,0,5,0,0,0,0,1,0,0,0
1,64,0,1,8,1,1,0,1,1,1,1,0,1,104.05,0.0,528.0,304.64,1,61,0,0,0,0,1,1,0,0,1,0
1,40,1,1,21,0,0,1,1,0,0,0,0,1,88.244,0.0,694.0,81.19999999999999,0,64,0,3,0,0,0,1,0,0,0,0
9,10,0,1,9,1,0,0,1,0,0,0,0,1,54.95,0.0,51.0,218.5,1,34,0,0,0,0,0,1,0,0,1,0
1,58,1,1,26,1,1,1,0,1,1,1,0,1,113.828,0.0,1598.0,1623.4199999999998,0,39,0,2,2,0,1,0,1,0,0,0
1,65,1,1,2,0,1,0,0,0,1,1,1,1,90.65,0.0,0.0,1289.6,1,52,0,2,0,0,0,0,1,0,0,0
0,1,0,1,30,0,0,0,0,0,0,0,0,1,73.112,0.0,0.0,39.1,1,80,0,2,1,0,0,1,0,0,0,0
9,46,0,1,52,1,1,0,0,0,0,1,0,0,35.05,0.0,843.0,0.0,0,27,2,0,0,0,0,0,1,0,0,0
6,19,0,1,14,0,1,1,0,0,0,0,1,1,34.3,0.0,8.08,0.0,1,65,0,0,0,0,0,0,0,0,1,0
0,68,0,1,59,1,1,1,1,1,1,1,1,1,82.45,0.0,0.0,1010.48,0,21,0,1,1,0,1,1,0,0,1,0
0,28,0,1,12,0,1,0,1,1,0,0,1,1,91.25,0.0,0.0,383.32,1,50,0,0,0,1,0,0,0,0,0,0
1,71,0,0,0,0,0,0,0,0,0,0,0,0,19.9,0.0,0.0,1454.79,0,28,2,1,0,0,1,0,0,1,1,0
0,60,1,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,0.0,2364.6,0,63,0,0,0,0,1,0,0,1,0,1
7,70,0,1,28,0,1,1,1,1,1,1,0,1,106.15,0.0,2093.0,256.9,1,37,3,1,0,1,0,0,1,0,0,0
0,17,1,1,5,1,0,0,0,0,1,1,1,0,65.75,0.0,0.0,806.6500000000001,1,47,0,0,0,0,0,1,0,0,0,0
2,34,0,1,23,0,0,1,1,1,0,0,1,0,64.2,0.0,48.44,419.22,0,74,0,1,0,1,0,0,0,0,0,0
0,45,0,1,30,1,0,1,1,1,1,1,1,0,81.65,0.0,0.0,1682.55,0,57,0,1,0,0,1,0,0,0,0,0
0,46,1,1,26,0,0,1,1,0,1,1,0,1,69.1,0.0,846.0,737.8399999999999,0,65,0,1,0,1,0,1,0,0,1,0
