Customer ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Population,Churn Value,CLTV,Churn Category,Churn Reason,Total Customer Svc Requests,Product/Service Issues Reported,Customer Satisfaction
6339-TBELP,No,0,71,,Yes,6.75,Yes,Yes,DSL,15,No,No,Yes,Yes,No,No,No,No,Two Year,Yes,Credit Card,86.4,6172.0,0.0,926.0,479.25,Male,53,No,No,No,No,0,Fillmore,93015,34.408161,-118.865111,16013,0,4069,,,2,0,
7964-YESJC,Yes,6,24,,Yes,9.3,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,66.3,1559.45,32.59,421.0,223.2,Female,21,Yes,No,Yes,No,0,Moorpark,93021,34.312945,-118.858169,32984,0,2235,,,1,0,3.0
9938-ZREHM,Yes,4,37,,Yes,42.45,Yes,Yes,Fiber Optic,23,No,Yes,No,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,72.1,2658.4,16.36,0.0,1570.65,Female,41,No,No,Yes,No,0,Oxnard,93033,34.156629,-119.117218,77791,0,2703,,,0,0,
7950-XWOVN,No,0,11,Offer D,No,0.0,No,Yes,Fiber Optic,22,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,34.7,383.55,22.53,0.0,0.0,Male,60,No,No,No,No,0,Oxnard,93035,34.18454,-119.224666,25322,0,4310,,,1,1,
4647-MUZON,Yes,9,18,Offer D,Yes,29.6,No,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.95,1745.5,6.72,12.22,532.8000000000001,Female,56,No,No,Yes,No,0,Port Hueneme,93041,34.110124,-119.100972,25634,0,5009,,,2,0,3.0
9702-AIUJO,Yes,10,50,,Yes,36.61,No,Yes,Fiber Optic,41,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,44.8,2230.85,36.22,0.0,1830.5,Male,22,Yes,No,Yes,Yes,2,Santa Paula,93060,34.402343,-119.094824,32511,0,6115,,,3,1,
8849-PRIQJ,Yes,7,67,,Yes,3.3,Yes,Yes,Fiber Optic,19,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,7281.6,38.34,0.0,221.1,Female,53,No,No,Yes,Yes,2,Simi Valley,93063,34.296813,-118.685703,49027,0,4103,,,0,0,
8851-RAGOV,Yes,10,25,,Yes,2.34,No,Yes,Fiber Optic,73,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,71.05,1837.7,28.08,0.0,58.5,Female,25,Yes,No,Yes,No,0,Simi Valley,93065,34.269449,-118.768471,64802,0,5620,,,1,0,
5396-IZEPB,No,0,9,Offer E,Yes,24.89,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.7,180.7,0.0,0.0,224.01,Male,37,No,No,No,No,0,Summerland,93067,34.420998,-119.60137,576,0,4194,,,3,0,
1729-VLAZJ,No,0,10,Offer D,No,0.0,No,Yes,DSL,57,Yes,Yes,No,Yes,No,No,No,Yes,One Year,No,Credit Card,40.25,411.45,17.96,0.0,0.0,Female,52,No,No,No,Yes,5,Santa Barbara,93101,34.419203,-119.710008,31727,0,2876,,,3,0,
